Facts: Value;Indicators: Key;Indicators: Name;Indicators: Description;Indicators: Full Name;Date;Time Period;Regions: Key;Regions: Code;Regions: Name
4539.6569193955247;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;2006-01-01 00:00:00;Annual;16754916;;Senegal
5037.698102206341;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;2007-01-01 00:00:00;Annual;16754916;;Senegal
5696.4064248825334;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;2008-01-01 00:00:00;Annual;16754916;;Senegal
5718.7023574781224;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;2009-01-01 00:00:00;Annual;16754916;;Senegal
2702.0551973683537;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1998-01-01 00:00:00;Annual;16754916;;Senegal
2822.1004971466532;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1999-01-01 00:00:00;Annual;16754916;;Senegal
2959.6318575253676;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;2000-01-01 00:00:00;Annual;16754916;;Senegal
3241.1054067807127;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;2001-01-01 00:00:00;Annual;16754916;;Senegal
3466.3396602792764;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;2002-01-01 00:00:00;Annual;16754916;;Senegal
3594.6338248236693;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;2003-01-01 00:00:00;Annual;16754916;;Senegal
1551.9286965833096;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1992-01-01 00:00:00;Annual;16754916;;Senegal
1593.4062249255551;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1993-01-01 00:00:00;Annual;16754916;;Senegal
2070.5105831162905;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1994-01-01 00:00:00;Annual;16754916;;Senegal
2260.8592286223939;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1995-01-01 00:00:00;Annual;16754916;;Senegal
2437.1484176265481;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1996-01-01 00:00:00;Annual;16754916;;Senegal
2493.9262385390598;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1997-01-01 00:00:00;Annual;16754916;;Senegal
1398.5370852812719;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1986-01-01 00:00:00;Annual;16754916;;Senegal
1409.5317601268493;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1987-01-01 00:00:00;Annual;16754916;;Senegal
1431.1072446874934;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1988-01-01 00:00:00;Annual;16754916;;Senegal
1521.86035162812;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1989-01-01 00:00:00;Annual;16754916;;Senegal
1519.6477264257971;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1990-01-01 00:00:00;Annual;16754916;;Senegal
1538.7021166398811;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1991-01-01 00:00:00;Annual;16754916;;Senegal
176.88999999999999;279;Exportation of good and service (current billion FCFA);;Agrégats (milliards de FCFA)\Exportation of good and service;1980-01-01 00:00:00;Annual;16754916;;Senegal
273.79899999999998;279;Exportation of good and service (current billion FCFA);;Agrégats (milliards de FCFA)\Exportation of good and service;1981-01-01 00:00:00;Annual;16754916;;Senegal
298.18000000000001;279;Exportation of good and service (current billion FCFA);;Agrégats (milliards de FCFA)\Exportation of good and service;1982-01-01 00:00:00;Annual;16754916;;Senegal
371.93000000000001;279;Exportation of good and service (current billion FCFA);;Agrégats (milliards de FCFA)\Exportation of good and service;1983-01-01 00:00:00;Annual;16754916;;Senegal
401.72700000000003;279;Exportation of good and service (current billion FCFA);;Agrégats (milliards de FCFA)\Exportation of good and service;1984-01-01 00:00:00;Annual;16754916;;Senegal
370.38999999999999;279;Exportation of good and service (current billion FCFA);;Agrégats (milliards de FCFA)\Exportation of good and service;1985-01-01 00:00:00;Annual;16754916;;Senegal
1592.644;279;Exportation of good and service (current billion FCFA);;Agrégats (milliards de FCFA)\Exportation of good and service;2010-01-01 00:00:00;Annual;16754916;;Senegal
1787.3199099999999;279;Exportation of good and service (current billion FCFA);;Agrégats (milliards de FCFA)\Exportation of good and service;2011-01-01 00:00:00;Annual;16754916;;Senegal
1835.6245186603858;279;Exportation of good and service (current billion FCFA);;Agrégats (milliards de FCFA)\Exportation of good and service;2012-01-01 00:00:00;Annual;16754916;;Senegal
1151.45;279;Exportation of good and service (current billion FCFA);;Agrégats (milliards de FCFA)\Exportation of good and service;2004-01-01 00:00:00;Annual;16754916;;Senegal
1240.8209999999999;279;Exportation of good and service (current billion FCFA);;Agrégats (milliards de FCFA)\Exportation of good and service;2005-01-01 00:00:00;Annual;16754916;;Senegal
1254.04;279;Exportation of good and service (current billion FCFA);;Agrégats (milliards de FCFA)\Exportation of good and service;2006-01-01 00:00:00;Annual;16754916;;Senegal
1376.22;279;Exportation of good and service (current billion FCFA);;Agrégats (milliards de FCFA)\Exportation of good and service;2007-01-01 00:00:00;Annual;16754916;;Senegal
1566.25;279;Exportation of good and service (current billion FCFA);;Agrégats (milliards de FCFA)\Exportation of good and service;2008-01-01 00:00:00;Annual;16754916;;Senegal
1471.79;279;Exportation of good and service (current billion FCFA);;Agrégats (milliards de FCFA)\Exportation of good and service;2009-01-01 00:00:00;Annual;16754916;;Senegal
